brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,154150,920000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,169034,799175,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1994,274000,30000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,230000,820000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,308000,1080000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,133000,1070000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,186059,1230000,2024-01-03
Volkswagen,Golf,1.4,122,MT,бензин,передний,2013,246886,1024856,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2014,190000,1350000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2017,55000,1180000,2024-01-03
Volkswagen,Golf,2.0,150,AT,бензин,передний,2006,220673,855000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,264000,963000,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1984,300000,115000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,198321,1069000,2024-01-03
Volkswagen,Golf,1.4,122,MT,бензин,передний,2011,212500,800000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2010,79000,1169000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2015,155495,1243000,2024-01-03
Volkswagen,Golf,1.2,85,MT,бензин,передний,2011,219950,750000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,245000,1395000,2024-01-03
Volkswagen,Golf,1.6,75,MT,бензин,передний,1990,300000,195000,2024-01-03
Volkswagen,Golf,1.4,149,AT,бензин,передний,2019,73000,2000000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2016,149779,1436500,2024-01-03
Volkswagen,Golf,1.6,102,MT,бензин,передний,2010,242462,710000,2024-01-03
Volkswagen,Golf,1.6,110,MT,дизель,передний,2015,302000,1440000,2024-01-03
Volkswagen,Golf,1.4,122,MT,бензин,передний,2013,163000,1365000,2024-01-03
Volkswagen,Golf,1.6,102,AMT,бензин,передний,2010,182000,940000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2002,196526,430000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2012,183500,845000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,65000,1420000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2018,49500,2500000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2010,158000,770000,2024-01-03
Volkswagen,Golf,1.4,125,AMT,бензин,передний,2018,23000,1556000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,141846,1149000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,192700,1250000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,1998,195500,445000,2024-01-03
Volkswagen,Golf,1.2,105,AMT,бензин,передний,2013,204008,951228,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,223000,960000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2012,180000,970000,2024-01-03
Volkswagen,Golf,1.4,80,MT,бензин,передний,2012,85000,1189000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2011,99000,1199000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,2004,307000,650000,2024-01-03
Volkswagen,Golf,1.4,75,MT,бензин,передний,1999,283000,500000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2013,280000,825000,2024-01-03
Volkswagen,Golf,1.2,105,MT,бензин,передний,2011,183000,969000,2024-01-03
Volkswagen,Golf,1.8,90,MT,бензин,передний,1993,66922,500000,2024-01-03
Volkswagen,Golf,1.6,115,AMT,дизель,передний,2018,73000,2190000,2024-01-03
Volkswagen,Golf,2.0,150,AMT,дизель,передний,2021,1252,3935000,2024-01-03
Volkswagen,Golf,1.4,122,AMT,бензин,передний,2013,135999,1339000,2024-01-03
Volkswagen,Golf,1.9,105,MT,дизель,передний,2008,196355,939999,2024-01-03
